time 	 cos(th) 	 sin(th) 	 theta 	 theta_dot 
16.650 	 -0.956 	 0.294 	 2.843 	 	 -2.228 
16.700 	 -0.917 	 0.400 	 2.730 	 	 -2.259 
16.750 	 -0.867 	 0.498 	 2.620 	 	 -2.211 
16.800 	 -0.810 	 0.586 	 2.515 	 	 -2.088 
16.850 	 -0.751 	 0.660 	 2.420 	 	 -1.900 
16.900 	 -0.694 	 0.720 	 2.338 	 	 -1.657 
16.950 	 -0.643 	 0.766 	 2.269 	 	 -1.368 
17.000 	 -0.602 	 0.798 	 2.217 	 	 -1.045 
17.050 	 -0.574 	 0.819 	 2.182 	 	 -0.698 
17.100 	 -0.560 	 0.829 	 2.165 	 	 -0.335 
17.150 	 -0.561 	 0.828 	 2.167 	 	 0.034 
17.200 	 -0.578 	 0.816 	 2.187 	 	 0.403 
17.250 	 -0.609 	 0.793 	 2.225 	 	 0.764 
17.300 	 -0.652 	 0.758 	 2.281 	 	 1.107 
17.350 	 -0.704 	 0.710 	 2.352 	 	 1.425 
17.400 	 -0.762 	 0.648 	 2.437 	 	 1.706 
17.450 	 -0.821 	 0.571 	 2.534 	 	 1.940 
17.500 	 -0.877 	 0.481 	 2.640 	 	 2.116 
17.550 	 -0.925 	 0.381 	 2.751 	 	 2.225 
17.600 	 -0.962 	 0.274 	 2.864 	 	 2.259 
17.650 	 -0.986 	 0.166 	 2.975 	 	 2.213 
17.700 	 -0.998 	 0.062 	 3.079 	 	 2.086 
17.750 	 -1.000 	 -0.032 	 3.110 	 	 1.881 
17.800 	 -0.994 	 -0.112 	 3.030 	 	 1.606 
17.850 	 -0.985 	 -0.175 	 2.966 	 	 1.271 
17.900 	 -0.976 	 -0.218 	 2.922 	 	 0.888 
17.950 	 -0.971 	 -0.241 	 2.898 	 	 0.473 
18.000 	 -0.970 	 -0.243 	 2.896 	 	 0.041 
18.050 	 -0.975 	 -0.224 	 2.916 	 	 -0.393 
18.100 	 -0.983 	 -0.184 	 2.956 	 	 -0.813 
18.150 	 -0.992 	 -0.125 	 3.017 	 	 -1.203 
18.200 	 -0.999 	 -0.048 	 3.094 	 	 -1.548 
18.250 	 -0.999 	 0.044 	 3.098 	 	 -1.835 
18.300 	 -0.989 	 0.146 	 2.995 	 	 -2.054 
18.350 	 -0.967 	 0.254 	 2.885 	 	 -2.195 
18.400 	 -0.933 	 0.361 	 2.772 	 	 -2.257 
18.450 	 -0.886 	 0.463 	 2.660 	 	 -2.238 
18.500 	 -0.832 	 0.555 	 2.553 	 	 -2.142 
18.550 	 -0.773 	 0.634 	 2.454 	 	 -1.977 
18.600 	 -0.715 	 0.700 	 2.367 	 	 -1.753 
18.650 	 -0.661 	 0.751 	 2.293 	 	 -1.480 
18.700 	 -0.616 	 0.788 	 2.234 	 	 -1.169 
18.750 	 -0.583 	 0.813 	 2.193 	 	 -0.829 
18.800 	 -0.563 	 0.826 	 2.169 	 	 -0.472 
18.850 	 -0.559 	 0.829 	 2.164 	 	 -0.103 
18.900 	 -0.570 	 0.822 	 2.177 	 	 0.267 
18.950 	 -0.596 	 0.803 	 2.209 	 	 0.631 
19.000 	 -0.634 	 0.773 	 2.258 	 	 0.982 
19.050 	 -0.684 	 0.730 	 2.324 	 	 1.310 
19.100 	 -0.740 	 0.673 	 2.404 	 	 1.606 
19.150 	 -0.799 	 0.601 	 2.497 	 	 1.859 
19.200 	 -0.857 	 0.516 	 2.600 	 	 2.058 
19.250 	 -0.908 	 0.419 	 2.709 	 	 2.193 
19.300 	 -0.949 	 0.314 	 2.822 	 	 2.256 
19.350 	 -0.979 	 0.206 	 2.934 	 	 2.240 
19.400 	 -0.995 	 0.100 	 3.041 	 	 2.143 
19.450 	 -1.000 	 0.002 	 3.140 	 	 1.966 
19.500 	 -0.996 	 -0.084 	 3.058 	 	 1.716 
19.550 	 -0.988 	 -0.153 	 2.988 	 	 1.402 
19.600 	 -0.979 	 -0.204 	 2.936 	 	 1.035 
19.650 	 -0.972 	 -0.235 	 2.904 	 	 0.630 
19.700 	 -0.970 	 -0.245 	 2.894 	 	 0.202 
19.750 	 -0.972 	 -0.233 	 2.906 	 	 -0.233 
19.800 	 -0.980 	 -0.201 	 2.939 	 	 -0.659 
19.850 	 -0.989 	 -0.149 	 2.992 	 	 -1.062 
19.900 	 -0.997 	 -0.078 	 3.063 	 	 -1.425 
19.950 	 -1.000 	 0.008 	 3.133 	 	 -1.736 
20.000 	 -0.994 	 0.107 	 3.034 	 	 -1.981 
20.050 	 -0.977 	 0.213 	 2.926 	 	 -2.152 
20.100 	 -0.947 	 0.321 	 2.814 	 	 -2.243 
20.150 	 -0.905 	 0.426 	 2.702 	 	 -2.254 
20.200 	 -0.853 	 0.522 	 2.592 	 	 -2.186 
20.250 	 -0.795 	 0.606 	 2.490 	 	 -2.046 
20.300 	 -0.736 	 0.677 	 2.398 	 	 -1.843 
20.350 	 -0.680 	 0.733 	 2.319 	 	 -1.587 
20.400 	 -0.631 	 0.775 	 2.254 	 	 -1.288 
20.450 	 -0.594 	 0.805 	 2.206 	 	 -0.958 
20.500 	 -0.569 	 0.822 	 2.176 	 	 -0.606 
20.550 	 -0.559 	 0.829 	 2.164 	 	 -0.241 
20.600 	 -0.564 	 0.826 	 2.170 	 	 0.129 
20.650 	 -0.585 	 0.811 	 2.195 	 	 0.497 
20.700 	 -0.619 	 0.786 	 2.238 	 	 0.854 
20.750 	 -0.664 	 0.747 	 2.297 	 	 1.192 
20.800 	 -0.719 	 0.696 	 2.372 	 	 1.501 
20.850 	 -0.777 	 0.629 	 2.461 	 	 1.771 
20.900 	 -0.836 	 0.549 	 2.561 	 	 1.991 
20.950 	 -0.890 	 0.456 	 2.668 	 	 2.151 
21.000 	 -0.935 	 0.354 	 2.780 	 	 2.242 
21.050 	 -0.969 	 0.246 	 2.893 	 	 2.255 
21.100 	 -0.990 	 0.139 	 3.002 	 	 2.188 
