time 	 cos(th) 	 sin(th) 	 theta 	 theta_dot 
2242.650 	 -0.565 	 0.825 	 2.172 	 	 -0.527 
2242.700 	 -0.559 	 0.829 	 2.164 	 	 -0.160 
2242.750 	 -0.567 	 0.823 	 2.174 	 	 0.211 
2242.800 	 -0.591 	 0.807 	 2.203 	 	 0.577 
2242.850 	 -0.628 	 0.778 	 2.250 	 	 0.930 
2242.900 	 -0.676 	 0.737 	 2.313 	 	 1.262 
2242.950 	 -0.731 	 0.682 	 2.391 	 	 1.564 
2243.000 	 -0.790 	 0.613 	 2.482 	 	 1.824 
2243.050 	 -0.848 	 0.529 	 2.584 	 	 2.032 
2243.100 	 -0.901 	 0.434 	 2.693 	 	 2.177 
2243.150 	 -0.944 	 0.330 	 2.805 	 	 2.251 
2243.200 	 -0.975 	 0.222 	 2.917 	 	 2.247 
2243.250 	 -0.993 	 0.116 	 3.026 	 	 2.163 
2243.300 	 -1.000 	 0.016 	 3.125 	 	 1.998 
2243.350 	 -0.997 	 -0.072 	 3.070 	 	 1.758 
2243.400 	 -0.990 	 -0.144 	 2.997 	 	 1.453 
2243.450 	 -0.980 	 -0.198 	 2.943 	 	 1.093 
2243.500 	 -0.973 	 -0.232 	 2.908 	 	 0.694 
2243.550 	 -0.970 	 -0.245 	 2.894 	 	 0.268 
2243.600 	 -0.972 	 -0.237 	 2.903 	 	 -0.167 
2243.650 	 -0.978 	 -0.208 	 2.933 	 	 -0.596 
2243.700 	 -0.987 	 -0.158 	 2.983 	 	 -1.003 
2243.750 	 -0.996 	 -0.090 	 3.051 	 	 -1.373 
2243.800 	 -1.000 	 -0.006 	 3.136 	 	 -1.692 
2243.850 	 -0.996 	 0.092 	 3.050 	 	 -1.948 
2243.900 	 -0.980 	 0.197 	 2.943 	 	 -2.131 
2243.950 	 -0.952 	 0.305 	 2.831 	 	 -2.235 
2244.000 	 -0.912 	 0.410 	 2.719 	 	 -2.258 
2244.050 	 -0.861 	 0.508 	 2.609 	 	 -2.201 
2244.100 	 -0.804 	 0.594 	 2.505 	 	 -2.072 
2244.150 	 -0.745 	 0.667 	 2.411 	 	 -1.877 
2244.200 	 -0.688 	 0.726 	 2.330 	 	 -1.629 
2244.250 	 -0.638 	 0.770 	 2.263 	 	 -1.336 
2244.300 	 -0.598 	 0.801 	 2.212 	 	 -1.010 
2244.350 	 -0.572 	 0.820 	 2.179 	 	 -0.661 
2244.400 	 -0.559 	 0.829 	 2.164 	 	 -0.297 
2244.450 	 -0.562 	 0.827 	 2.168 	 	 0.073 
2244.500 	 -0.581 	 0.814 	 2.190 	 	 0.442 
2244.550 	 -0.613 	 0.790 	 2.230 	 	 0.801 
2244.600 	 -0.657 	 0.754 	 2.287 	 	 1.142 
2244.650 	 -0.710 	 0.704 	 2.360 	 	 1.456 
2244.700 	 -0.768 	 0.640 	 2.447 	 	 1.733 
2244.750 	 -0.827 	 0.562 	 2.545 	 	 1.961 
2244.800 	 -0.882 	 0.471 	 2.651 	 	 2.131 
2244.850 	 -0.929 	 0.370 	 2.763 	 	 2.233 
2244.900 	 -0.965 	 0.263 	 2.876 	 	 2.258 
2244.950 	 -0.988 	 0.155 	 2.986 	 	 2.204 
2245.000 	 -0.999 	 0.052 	 3.090 	 	 2.068 
2245.050 	 -0.999 	 -0.041 	 3.101 	 	 1.856 
2245.100 	 -0.993 	 -0.119 	 3.022 	 	 1.573 
2245.150 	 -0.984 	 -0.180 	 2.961 	 	 1.233 
2245.200 	 -0.975 	 -0.221 	 2.918 	 	 0.846 
2245.250 	 -0.970 	 -0.242 	 2.897 	 	 0.428 
2245.300 	 -0.970 	 -0.242 	 2.897 	 	 -0.005 
2245.350 	 -0.975 	 -0.221 	 2.919 	 	 -0.438 
2245.400 	 -0.984 	 -0.179 	 2.962 	 	 -0.855 
2245.450 	 -0.993 	 -0.117 	 3.024 	 	 -1.241 
2245.500 	 -0.999 	 -0.039 	 3.103 	 	 -1.581 
2245.550 	 -0.999 	 0.054 	 3.087 	 	 -1.861 
2245.600 	 -0.988 	 0.157 	 2.984 	 	 -2.072 
2245.650 	 -0.964 	 0.265 	 2.873 	 	 -2.206 
2245.700 	 -0.928 	 0.372 	 2.760 	 	 -2.259 
2245.750 	 -0.881 	 0.473 	 2.649 	 	 -2.231 
2245.800 	 -0.826 	 0.564 	 2.543 	 	 -2.128 
2245.850 	 -0.767 	 0.642 	 2.445 	 	 -1.957 
2245.900 	 -0.709 	 0.706 	 2.358 	 	 -1.727 
2245.950 	 -0.656 	 0.755 	 2.286 	 	 -1.449 
2246.000 	 -0.612 	 0.791 	 2.229 	 	 -1.134 
2246.050 	 -0.580 	 0.815 	 2.190 	 	 -0.793 
2246.100 	 -0.562 	 0.827 	 2.168 	 	 -0.433 
2246.150 	 -0.560 	 0.829 	 2.165 	 	 -0.065 
2246.200 	 -0.572 	 0.820 	 2.180 	 	 0.305 
2246.250 	 -0.599 	 0.801 	 2.213 	 	 0.669 
2246.300 	 -0.639 	 0.769 	 2.264 	 	 1.018 
2246.350 	 -0.689 	 0.724 	 2.331 	 	 1.343 
2246.400 	 -0.746 	 0.666 	 2.413 	 	 1.635 
2246.450 	 -0.805 	 0.593 	 2.507 	 	 1.882 
2246.500 	 -0.862 	 0.506 	 2.611 	 	 2.075 
2246.550 	 -0.913 	 0.408 	 2.721 	 	 2.203 
2246.600 	 -0.953 	 0.303 	 2.834 	 	 2.258 
2246.650 	 -0.981 	 0.195 	 2.946 	 	 2.233 
2246.700 	 -0.996 	 0.089 	 3.052 	 	 2.128 
2246.750 	 -1.000 	 -0.008 	 3.134 	 	 1.943 
2246.800 	 -0.996 	 -0.092 	 3.050 	 	 1.686 
2246.850 	 -0.987 	 -0.160 	 2.981 	 	 1.365 
2246.900 	 -0.978 	 -0.208 	 2.932 	 	 0.994 
2246.950 	 -0.972 	 -0.237 	 2.902 	 	 0.586 
2247.000 	 -0.970 	 -0.245 	 2.894 	 	 0.157 
2247.050 	 -0.973 	 -0.231 	 2.908 	 	 -0.278 
2247.100 	 -0.980 	 -0.197 	 2.944 	 	 -0.703 
2247.150 	 -0.990 	 -0.142 	 2.999 	 	 -1.102 
2247.200 	 -0.998 	 -0.070 	 3.072 	 	 -1.461 
2247.250 	 -1.000 	 0.018 	 3.123 	 	 -1.765 
2247.300 	 -0.993 	 0.118 	 3.023 	 	 -2.002 
2247.350 	 -0.974 	 0.225 	 2.915 	 	 -2.165 
2247.400 	 -0.943 	 0.333 	 2.802 	 	 -2.248 
2247.450 	 -0.900 	 0.436 	 2.690 	 	 -2.250 
2247.500 	 -0.847 	 0.531 	 2.581 	 	 -2.175 
2247.550 	 -0.789 	 0.614 	 2.480 	 	 -2.028 
2247.600 	 -0.730 	 0.684 	 2.389 	 	 -1.818 
2247.650 	 -0.674 	 0.738 	 2.311 	 	 -1.557 
2247.700 	 -0.627 	 0.779 	 2.248 	 	 -1.255 
2247.750 	 -0.590 	 0.807 	 2.202 	 	 -0.922 
2247.800 	 -0.567 	 0.824 	 2.174 	 	 -0.569 
2247.850 	 -0.559 	 0.829 	 2.164 	 	 -0.202 
2247.900 	 -0.566 	 0.825 	 2.172 	 	 0.168 
2247.950 	 -0.588 	 0.809 	 2.199 	 	 0.535 
2248.000 	 -0.623 	 0.782 	 2.243 	 	 0.890 
2248.050 	 -0.670 	 0.743 	 2.305 	 	 1.225 
2248.100 	 -0.725 	 0.689 	 2.381 	 	 1.531 
2248.150 	 -0.783 	 0.622 	 2.471 	 	 1.796 
2248.200 	 -0.842 	 0.540 	 2.571 	 	 2.011 
2248.250 	 -0.895 	 0.446 	 2.680 	 	 2.164 
2248.300 	 -0.940 	 0.343 	 2.792 	 	 2.247 
2248.350 	 -0.972 	 0.235 	 2.905 	 	 2.252 
2248.400 	 -0.992 	 0.128 	 3.013 	 	 2.176 
2248.450 	 -1.000 	 0.027 	 3.114 	 	 2.021 
2248.500 	 -0.998 	 -0.062 	 3.079 	 	 1.790 
2248.550 	 -0.991 	 -0.136 	 3.005 	 	 1.491 
2248.600 	 -0.981 	 -0.193 	 2.948 	 	 1.137 
2248.650 	 -0.973 	 -0.229 	 2.911 	 	 0.741 
2248.700 	 -0.970 	 -0.244 	 2.895 	 	 0.318 
2248.750 	 -0.971 	 -0.239 	 2.901 	 	 -0.117 
2248.800 	 -0.977 	 -0.212 	 2.928 	 	 -0.547 
2248.850 	 -0.986 	 -0.165 	 2.976 	 	 -0.958 
2248.900 	 -0.995 	 -0.099 	 3.043 	 	 -1.333 
2248.950 	 -1.000 	 -0.016 	 3.126 	 	 -1.659 
2249.000 	 -0.997 	 0.080 	 3.062 	 	 -1.922 
2249.050 	 -0.983 	 0.185 	 2.956 	 	 -2.114 
2249.100 	 -0.956 	 0.293 	 2.845 	 	 -2.227 
2249.150 	 -0.917 	 0.399 	 2.732 	 	 -2.259 
2249.200 	 -0.868 	 0.497 	 2.621 	 	 -2.212 
2249.250 	 -0.811 	 0.585 	 2.516 	 	 -2.090 
2249.300 	 -0.752 	 0.660 	 2.421 	 	 -1.903 
2249.350 	 -0.694 	 0.720 	 2.338 	 	 -1.660 
2249.400 	 -0.643 	 0.765 	 2.270 	 	 -1.372 
2249.450 	 -0.602 	 0.798 	 2.217 	 	 -1.049 
2249.500 	 -0.574 	 0.819 	 2.182 	 	 -0.702 
2249.550 	 -0.560 	 0.828 	 2.165 	 	 -0.339 
2249.600 	 -0.561 	 0.828 	 2.167 	 	 0.030 
2249.650 	 -0.578 	 0.816 	 2.187 	 	 0.399 
2249.700 	 -0.608 	 0.794 	 2.225 	 	 0.760 
2249.750 	 -0.651 	 0.759 	 2.280 	 	 1.104 
2249.800 	 -0.703 	 0.711 	 2.351 	 	 1.421 
2249.850 	 -0.761 	 0.648 	 2.436 	 	 1.703 
2249.900 	 -0.820 	 0.572 	 2.533 	 	 1.938 
2249.950 	 -0.876 	 0.482 	 2.639 	 	 2.115 
2250.000 	 -0.924 	 0.382 	 2.750 	 	 2.225 
2250.050 	 -0.961 	 0.275 	 2.863 	 	 2.259 
2250.100 	 -0.986 	 0.167 	 2.974 	 	 2.214 
2250.150 	 -0.998 	 0.064 	 3.078 	 	 2.088 
2250.200 	 -1.000 	 -0.031 	 3.111 	 	 1.884 
2250.250 	 -0.994 	 -0.111 	 3.030 	 	 1.609 
2250.300 	 -0.985 	 -0.174 	 2.967 	 	 1.275 
2250.350 	 -0.976 	 -0.218 	 2.922 	 	 0.893 
2250.400 	 -0.971 	 -0.241 	 2.898 	 	 0.478 
2250.450 	 -0.970 	 -0.243 	 2.896 	 	 0.045 
2250.500 	 -0.975 	 -0.224 	 2.915 	 	 -0.389 
2250.550 	 -0.983 	 -0.185 	 2.956 	 	 -0.808 
2250.600 	 -0.992 	 -0.126 	 3.016 	 	 -1.198 
2250.650 	 -0.999 	 -0.049 	 3.093 	 	 -1.544 
2250.700 	 -0.999 	 0.043 	 3.099 	 	 -1.832 
2250.750 	 -0.989 	 0.145 	 2.996 	 	 -2.052 
2250.800 	 -0.968 	 0.252 	 2.886 	 	 -2.194 
2250.850 	 -0.933 	 0.360 	 2.774 	 	 -2.257 
2250.900 	 -0.887 	 0.462 	 2.662 	 	 -2.238 
2250.950 	 -0.833 	 0.554 	 2.554 	 	 -2.143 
2251.000 	 -0.774 	 0.634 	 2.455 	 	 -1.980 
2251.050 	 -0.715 	 0.699 	 2.368 	 	 -1.756 
2251.100 	 -0.661 	 0.750 	 2.293 	 	 -1.483 
2251.150 	 -0.616 	 0.787 	 2.235 	 	 -1.172 
2251.200 	 -0.583 	 0.812 	 2.193 	 	 -0.833 
2251.250 	 -0.564 	 0.826 	 2.169 	 	 -0.476 
2251.300 	 -0.559 	 0.829 	 2.164 	 	 -0.108 
2251.350 	 -0.570 	 0.822 	 2.177 	 	 0.263 
2251.400 	 -0.595 	 0.803 	 2.209 	 	 0.627 
2251.450 	 -0.634 	 0.773 	 2.257 	 	 0.978 
2251.500 	 -0.683 	 0.730 	 2.323 	 	 1.307 
2251.550 	 -0.739 	 0.673 	 2.403 	 	 1.603 
2251.600 	 -0.799 	 0.602 	 2.496 	 	 1.856 
2251.650 	 -0.856 	 0.517 	 2.599 	 	 2.056 
2251.700 	 -0.908 	 0.420 	 2.708 	 	 2.192 
2251.750 	 -0.949 	 0.315 	 2.821 	 	 2.256 
2251.800 	 -0.978 	 0.207 	 2.933 	 	 2.240 
2251.850 	 -0.995 	 0.101 	 3.040 	 	 2.144 
2251.900 	 -1.000 	 0.003 	 3.139 	 	 1.968 
2251.950 	 -0.997 	 -0.083 	 3.059 	 	 1.719 
2252.000 	 -0.988 	 -0.153 	 2.988 	 	 1.405 
2252.050 	 -0.979 	 -0.204 	 2.936 	 	 1.039 
2252.100 	 -0.972 	 -0.235 	 2.905 	 	 0.635 
2252.150 	 -0.970 	 -0.245 	 2.894 	 	 0.207 
2252.200 	 -0.972 	 -0.234 	 2.906 	 	 -0.228 
2252.250 	 -0.979 	 -0.202 	 2.938 	 	 -0.655 
2252.300 	 -0.989 	 -0.150 	 2.991 	 	 -1.058 
2252.350 	 -0.997 	 -0.079 	 3.062 	 	 -1.422 
2252.400 	 -1.000 	 0.007 	 3.134 	 	 -1.733 
2252.450 	 -0.994 	 0.106 	 3.035 	 	 -1.979 
2252.500 	 -0.977 	 0.212 	 2.928 	 	 -2.151 
2252.550 	 -0.947 	 0.320 	 2.816 	 	 -2.243 
2252.600 	 -0.905 	 0.425 	 2.703 	 	 -2.254 
2252.650 	 -0.854 	 0.521 	 2.593 	 	 -2.187 
2252.700 	 -0.796 	 0.606 	 2.491 	 	 -2.048 
2252.750 	 -0.737 	 0.676 	 2.399 	 	 -1.845 
2252.800 	 -0.681 	 0.733 	 2.319 	 	 -1.590 
2252.850 	 -0.632 	 0.775 	 2.255 	 	 -1.292 
2252.900 	 -0.594 	 0.805 	 2.207 	 	 -0.962 
2252.950 	 -0.569 	 0.822 	 2.176 	 	 -0.610 
2253.000 	 -0.559 	 0.829 	 2.164 	 	 -0.245 
2253.050 	 -0.564 	 0.826 	 2.170 	 	 0.125 
2253.100 	 -0.584 	 0.812 	 2.195 	 	 0.493 
2253.150 	 -0.618 	 0.786 	 2.237 	 	 0.850 
2253.200 	 -0.664 	 0.748 	 2.297 	 	 1.188 
2253.250 	 -0.718 	 0.696 	 2.372 	 	 1.497 
2253.300 	 -0.777 	 0.630 	 2.460 	 	 1.768 
2253.350 	 -0.835 	 0.550 	 2.559 	 	 1.989 
2253.400 	 -0.889 	 0.457 	 2.667 	 	 2.150 
2253.450 	 -0.935 	 0.355 	 2.779 	 	 2.241 
2253.500 	 -0.969 	 0.247 	 2.892 	 	 2.255 
2253.550 	 -0.990 	 0.140 	 3.001 	 	 2.189 
2253.600 	 -0.999 	 0.038 	 3.103 	 	 2.043 
2253.650 	 -0.999 	 -0.053 	 3.089 	 	 1.820 
2253.700 	 -0.992 	 -0.129 	 3.012 	 	 1.529 
2253.750 	 -0.982 	 -0.187 	 2.953 	 	 1.181 
2253.800 	 -0.974 	 -0.226 	 2.914 	 	 0.789 
2253.850 	 -0.970 	 -0.244 	 2.896 	 	 0.368 
2253.900 	 -0.971 	 -0.240 	 2.899 	 	 -0.066 
2253.950 	 -0.976 	 -0.216 	 2.924 	 	 -0.498 
2254.000 	 -0.985 	 -0.171 	 2.969 	 	 -0.912 
2254.050 	 -0.994 	 -0.107 	 3.034 	 	 -1.292 
2254.100 	 -1.000 	 -0.026 	 3.115 	 	 -1.624 
2254.150 	 -0.998 	 0.068 	 3.073 	 	 -1.895 
2254.200 	 -0.985 	 0.172 	 2.968 	 	 -2.096 
2254.250 	 -0.960 	 0.280 	 2.858 	 	 -2.218 
2254.300 	 -0.922 	 0.387 	 2.745 	 	 -2.259 
2254.350 	 -0.874 	 0.486 	 2.634 	 	 -2.221 
2254.400 	 -0.818 	 0.576 	 2.528 	 	 -2.108 
2254.450 	 -0.758 	 0.652 	 2.432 	 	 -1.928 
2254.500 	 -0.701 	 0.713 	 2.347 	 	 -1.690 
2254.550 	 -0.649 	 0.761 	 2.277 	 	 -1.407 
2254.600 	 -0.607 	 0.795 	 2.223 	 	 -1.088 
2254.650 	 -0.577 	 0.817 	 2.185 	 	 -0.743 
2254.700 	 -0.561 	 0.828 	 2.166 	 	 -0.382 
2254.750 	 -0.560 	 0.828 	 2.166 	 	 -0.013 
2254.800 	 -0.575 	 0.818 	 2.184 	 	 0.357 
2254.850 	 -0.604 	 0.797 	 2.219 	 	 0.719 
2254.900 	 -0.646 	 0.764 	 2.273 	 	 1.065 
2254.950 	 -0.697 	 0.717 	 2.342 	 	 1.386 
2255.000 	 -0.754 	 0.656 	 2.426 	 	 1.673 
2255.050 	 -0.814 	 0.581 	 2.521 	 	 1.913 
2255.100 	 -0.870 	 0.493 	 2.626 	 	 2.098 
2255.150 	 -0.919 	 0.394 	 2.737 	 	 2.216 
2255.200 	 -0.958 	 0.288 	 2.850 	 	 2.259 
2255.250 	 -0.984 	 0.180 	 2.961 	 	 2.223 
2255.300 	 -0.997 	 0.075 	 3.066 	 	 2.106 
2255.350 	 -1.000 	 -0.020 	 3.121 	 	 1.911 
2255.400 	 -0.995 	 -0.102 	 3.039 	 	 1.644 
2255.450 	 -0.986 	 -0.168 	 2.973 	 	 1.316 
2255.500 	 -0.977 	 -0.214 	 2.926 	 	 0.939 
2255.550 	 -0.971 	 -0.239 	 2.900 	 	 0.527 
2255.600 	 -0.970 	 -0.244 	 2.895 	 	 0.096 
2255.650 	 -0.974 	 -0.228 	 2.912 	 	 -0.339 
2255.700 	 -0.982 	 -0.190 	 2.950 	 	 -0.761 
2255.750 	 -0.991 	 -0.133 	 3.008 	 	 -1.155 
2255.800 	 -0.998 	 -0.058 	 3.083 	 	 -1.507 
2255.850 	 -0.999 	 0.032 	 3.110 	 	 -1.802 
2255.900 	 -0.991 	 0.133 	 3.008 	 	 -2.030 
2255.950 	 -0.971 	 0.240 	 2.899 	 	 -2.182 
2256.000 	 -0.938 	 0.348 	 2.787 	 	 -2.254 
2256.050 	 -0.893 	 0.450 	 2.674 	 	 -2.244 
2256.100 	 -0.839 	 0.544 	 2.566 	 	 -2.158 
2256.150 	 -0.781 	 0.625 	 2.466 	 	 -2.002 
2256.200 	 -0.722 	 0.692 	 2.377 	 	 -1.784 
2256.250 	 -0.667 	 0.745 	 2.301 	 	 -1.517 
2256.300 	 -0.621 	 0.784 	 2.241 	 	 -1.210 
2256.350 	 -0.586 	 0.810 	 2.197 	 	 -0.874 
2256.400 	 -0.565 	 0.825 	 2.171 	 	 -0.518 
2256.450 	 -0.559 	 0.829 	 2.164 	 	 -0.150 
2256.500 	 -0.568 	 0.823 	 2.175 	 	 0.220 
2256.550 	 -0.592 	 0.806 	 2.204 	 	 0.586 
2256.600 	 -0.629 	 0.777 	 2.251 	 	 0.939 
2256.650 	 -0.677 	 0.736 	 2.314 	 	 1.270 
2256.700 	 -0.733 	 0.681 	 2.393 	 	 1.571 
2256.750 	 -0.792 	 0.611 	 2.485 	 	 1.830 
2256.800 	 -0.850 	 0.527 	 2.586 	 	 2.036 
2256.850 	 -0.902 	 0.432 	 2.695 	 	 2.180 
2256.900 	 -0.945 	 0.328 	 2.808 	 	 2.252 
2256.950 	 -0.976 	 0.220 	 2.920 	 	 2.246 
2257.000 	 -0.994 	 0.113 	 3.028 	 	 2.159 
2257.050 	 -1.000 	 0.014 	 3.128 	 	 1.993 
2257.100 	 -0.997 	 -0.074 	 3.068 	 	 1.751 
2257.150 	 -0.989 	 -0.146 	 2.996 	 	 1.444 
2257.200 	 -0.980 	 -0.199 	 2.941 	 	 1.084 
2257.250 	 -0.973 	 -0.232 	 2.907 	 	 0.683 
2257.300 	 -0.970 	 -0.245 	 2.894 	 	 0.257 
2257.350 	 -0.972 	 -0.236 	 2.903 	 	 -0.178 
2257.400 	 -0.978 	 -0.207 	 2.934 	 	 -0.607 
2257.450 	 -0.988 	 -0.157 	 2.984 	 	 -1.013 
2257.500 	 -0.996 	 -0.088 	 3.053 	 	 -1.382 
2257.550 	 -1.000 	 -0.003 	 3.138 	 	 -1.700 
2257.600 	 -0.996 	 0.094 	 3.047 	 	 -1.954 
2257.650 	 -0.980 	 0.200 	 2.940 	 	 -2.135 
2257.700 	 -0.951 	 0.308 	 2.829 	 	 -2.236 
2257.750 	 -0.911 	 0.413 	 2.716 	 	 -2.257 
2257.800 	 -0.860 	 0.511 	 2.606 	 	 -2.199 
2257.850 	 -0.803 	 0.597 	 2.502 	 	 -2.068 
2257.900 	 -0.743 	 0.669 	 2.409 	 	 -1.872 
2257.950 	 -0.687 	 0.727 	 2.328 	 	 -1.622 
2258.000 	 -0.637 	 0.771 	 2.261 	 	 -1.328 
2258.050 	 -0.598 	 0.802 	 2.211 	 	 -1.001 
2258.100 	 -0.571 	 0.821 	 2.179 	 	 -0.652 
2258.150 	 -0.559 	 0.829 	 2.164 	 	 -0.288 
2258.200 	 -0.563 	 0.827 	 2.168 	 	 0.083 
2258.250 	 -0.581 	 0.814 	 2.191 	 	 0.451 
2258.300 	 -0.614 	 0.790 	 2.231 	 	 0.810 
2258.350 	 -0.658 	 0.753 	 2.289 	 	 1.150 
2258.400 	 -0.711 	 0.703 	 2.362 	 	 1.463 
2258.450 	 -0.770 	 0.638 	 2.449 	 	 1.739 
2258.500 	 -0.829 	 0.560 	 2.547 	 	 1.966 
2258.550 	 -0.884 	 0.468 	 2.654 	 	 2.135 
2258.600 	 -0.930 	 0.367 	 2.766 	 	 2.234 
2258.650 	 -0.966 	 0.260 	 2.879 	 	 2.258 
2258.700 	 -0.988 	 0.152 	 2.989 	 	 2.201 
2258.750 	 -0.999 	 0.050 	 3.092 	 	 2.064 
2258.800 	 -0.999 	 -0.043 	 3.099 	 	 1.849 
2258.850 	 -0.993 	 -0.121 	 3.020 	 	 1.566 
2258.900 	 -0.983 	 -0.181 	 2.959 	 	 1.223 
2258.950 	 -0.975 	 -0.222 	 2.917 	 	 0.836 
2259.000 	 -0.970 	 -0.243 	 2.897 	 	 0.417 
2259.050 	 -0.970 	 -0.242 	 2.897 	 	 -0.016 
2259.100 	 -0.976 	 -0.220 	 2.920 	 	 -0.449 
2259.150 	 -0.984 	 -0.178 	 2.963 	 	 -0.865 
2259.200 	 -0.993 	 -0.116 	 3.026 	 	 -1.250 
2259.250 	 -0.999 	 -0.037 	 3.105 	 	 -1.588 
2259.300 	 -0.998 	 0.057 	 3.085 	 	 -1.867 
2259.350 	 -0.987 	 0.160 	 2.981 	 	 -2.076 
2259.400 	 -0.963 	 0.268 	 2.871 	 	 -2.208 
2259.450 	 -0.927 	 0.375 	 2.758 	 	 -2.259 
2259.500 	 -0.880 	 0.475 	 2.646 	 	 -2.229 
2259.550 	 -0.824 	 0.566 	 2.540 	 	 -2.124 
2259.600 	 -0.765 	 0.644 	 2.442 	 	 -1.951 
2259.650 	 -0.707 	 0.707 	 2.356 	 	 -1.720 
2259.700 	 -0.654 	 0.756 	 2.284 	 	 -1.442 
2259.750 	 -0.611 	 0.792 	 2.228 	 	 -1.126 
2259.800 	 -0.579 	 0.815 	 2.189 	 	 -0.784 
2259.850 	 -0.562 	 0.827 	 2.168 	 	 -0.424 
2259.900 	 -0.560 	 0.829 	 2.165 	 	 -0.055 
2259.950 	 -0.573 	 0.820 	 2.181 	 	 0.315 
2260.000 	 -0.600 	 0.800 	 2.214 	 	 0.678 
2260.050 	 -0.640 	 0.768 	 2.266 	 	 1.026 
2260.100 	 -0.691 	 0.723 	 2.333 	 	 1.351 
2260.150 	 -0.748 	 0.664 	 2.415 	 	 1.642 
2260.200 	 -0.807 	 0.591 	 2.510 	 	 1.888 
2260.250 	 -0.864 	 0.504 	 2.614 	 	 2.079 
2260.300 	 -0.914 	 0.406 	 2.724 	 	 2.206 
2260.350 	 -0.954 	 0.300 	 2.837 	 	 2.258 
2260.400 	 -0.981 	 0.192 	 2.948 	 	 2.232 
2260.450 	 -0.996 	 0.087 	 3.055 	 	 2.124 
2260.500 	 -1.000 	 -0.010 	 3.132 	 	 1.938 
2260.550 	 -0.996 	 -0.094 	 3.048 	 	 1.678 
2260.600 	 -0.987 	 -0.161 	 2.980 	 	 1.357 
2260.650 	 -0.978 	 -0.209 	 2.931 	 	 0.984 
2260.700 	 -0.971 	 -0.237 	 2.902 	 	 0.576 
2260.750 	 -0.970 	 -0.245 	 2.895 	 	 0.146 
2260.800 	 -0.973 	 -0.230 	 2.909 	 	 -0.289 
2260.850 	 -0.981 	 -0.196 	 2.945 	 	 -0.713 
2260.900 	 -0.990 	 -0.141 	 3.000 	 	 -1.112 
2260.950 	 -0.998 	 -0.068 	 3.074 	 	 -1.469 
2261.000 	 -1.000 	 0.021 	 3.121 	 	 -1.771 
2261.050 	 -0.993 	 0.121 	 3.021 	 	 -2.007 
2261.100 	 -0.974 	 0.227 	 2.912 	 	 -2.168 
2261.150 	 -0.942 	 0.335 	 2.800 	 	 -2.249 
2261.200 	 -0.899 	 0.439 	 2.687 	 	 -2.249 
2261.250 	 -0.846 	 0.534 	 2.579 	 	 -2.172 
2261.300 	 -0.787 	 0.616 	 2.477 	 	 -2.023 
2261.350 	 -0.728 	 0.685 	 2.387 	 	 -1.812 
2261.400 	 -0.673 	 0.739 	 2.309 	 	 -1.550 
2261.450 	 -0.626 	 0.780 	 2.247 	 	 -1.247 
2261.500 	 -0.590 	 0.808 	 2.201 	 	 -0.914 
2261.550 	 -0.567 	 0.824 	 2.173 	 	 -0.559 
2261.600 	 -0.559 	 0.829 	 2.164 	 	 -0.193 
2261.650 	 -0.566 	 0.824 	 2.173 	 	 0.177 
2261.700 	 -0.588 	 0.809 	 2.200 	 	 0.544 
2261.750 	 -0.624 	 0.781 	 2.245 	 	 0.899 
2261.800 	 -0.671 	 0.741 	 2.306 	 	 1.234 
2261.850 	 -0.726 	 0.688 	 2.383 	 	 1.538 
2261.900 	 -0.785 	 0.620 	 2.473 	 	 1.802 
2261.950 	 -0.843 	 0.537 	 2.574 	 	 2.015 
2262.000 	 -0.896 	 0.443 	 2.682 	 	 2.167 
2262.050 	 -0.940 	 0.340 	 2.795 	 	 2.248 
2262.100 	 -0.973 	 0.232 	 2.907 	 	 2.251 
2262.150 	 -0.992 	 0.125 	 3.016 	 	 2.173 
2262.200 	 -1.000 	 0.025 	 3.117 	 	 2.016 
2262.250 	 -0.998 	 -0.064 	 3.077 	 	 1.783 
2262.300 	 -0.990 	 -0.138 	 3.003 	 	 1.483 
2262.350 	 -0.981 	 -0.194 	 2.947 	 	 1.128 
2262.400 	 -0.973 	 -0.229 	 2.910 	 	 0.731 
2262.450 	 -0.970 	 -0.244 	 2.895 	 	 0.307 
2262.500 	 -0.971 	 -0.238 	 2.901 	 	 -0.128 
2262.550 	 -0.977 	 -0.211 	 2.929 	 	 -0.558 
2262.600 	 -0.987 	 -0.163 	 2.977 	 	 -0.968 
2262.650 	 -0.995 	 -0.097 	 3.044 	 	 -1.342 
2262.700 	 -1.000 	 -0.014 	 3.128 	 	 -1.666 
2262.750 	 -0.997 	 0.083 	 3.059 	 	 -1.928 
2262.800 	 -0.982 	 0.187 	 2.953 	 	 -2.118 
2262.850 	 -0.955 	 0.295 	 2.842 	 	 -2.229 
2262.900 	 -0.916 	 0.401 	 2.729 	 	 -2.259 
2262.950 	 -0.866 	 0.500 	 2.618 	 	 -2.209 
2263.000 	 -0.809 	 0.587 	 2.514 	 	 -2.086 
2263.050 	 -0.750 	 0.661 	 2.419 	 	 -1.897 
2263.100 	 -0.693 	 0.721 	 2.336 	 	 -1.653 
2263.150 	 -0.642 	 0.766 	 2.268 	 	 -1.364 
2263.200 	 -0.602 	 0.799 	 2.216 	 	 -1.041 
2263.250 	 -0.573 	 0.819 	 2.182 	 	 -0.693 
